epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,6652.65,0.8279,0.65425,1.01332,0.94607,0.87567,0.91941,0.78751,1.03051,0.88946,1.12407,0.007954,0.007954,0.007954
157,6700.9,0.82693,0.6675,1.01703,0.93416,0.86811,0.92468,0.78856,1.03672,0.87612,1.11932,0.0079408,0.0079408,0.0079408
158,6749.52,0.8326,0.65841,1.00855,0.92762,0.87671,0.92786,0.79559,1.01236,0.83067,1.11131,0.0079276,0.0079276,0.0079276
159,6795.02,0.81719,0.65148,1.00752,0.94218,0.88359,0.92197,0.78176,1.04278,0.83877,1.12764,0.0079144,0.0079144,0.0079144
160,6839.98,0.84784,0.68094,1.02123,0.94165,0.88476,0.92592,0.78588,1.00637,0.81314,1.10085,0.0079012,0.0079012,0.0079012
161,6886.1,0.82945,0.65825,1.01933,0.92432,0.8843,0.92016,0.79318,1.00347,0.83188,1.10523,0.007888,0.007888,0.007888
162,6930.9,0.80775,0.63322,1.00273,0.91179,0.86736,0.92605,0.79698,1.01658,0.87163,1.08442,0.0078748,0.0078748,0.0078748
163,6977.07,0.84033,0.66104,1.00831,0.93282,0.88829,0.9226,0.79061,1.03038,0.91664,1.14245,0.0078616,0.0078616,0.0078616
164,7024.99,0.86522,0.71966,1.02645,0.91917,0.89709,0.92096,0.7959,1.04656,0.86292,1.1407,0.0078484,0.0078484,0.0078484
165,7072,0.80745,0.64701,0.99909,0.93349,0.89069,0.9237,0.79562,1.01923,0.80933,1.1177,0.0078352,0.0078352,0.0078352
166,7118.15,0.82505,0.65347,1.01307,0.9306,0.89283,0.92373,0.79126,1.03169,0.83395,1.11943,0.007822,0.007822,0.007822
167,7166.2,0.80583,0.64004,1.00554,0.90774,0.87861,0.91809,0.78877,1.03121,0.89079,1.12373,0.0078088,0.0078088,0.0078088
168,7212.92,0.82854,0.63865,1.02075,0.91622,0.90781,0.92872,0.7903,1.01571,0.84787,1.10873,0.0077956,0.0077956,0.0077956
169,7259.72,0.77944,0.6176,0.99874,0.94637,0.88065,0.92055,0.79062,1.0266,0.9418,1.12345,0.0077824,0.0077824,0.0077824
170,7307.39,0.79911,0.6268,1.00654,0.91661,0.89063,0.92668,0.78849,1.03387,0.88967,1.12976,0.0077692,0.0077692,0.0077692
171,7355.15,0.80586,0.63533,1.00188,0.95085,0.87814,0.92291,0.79068,1.02006,0.85196,1.12691,0.007756,0.007756,0.007756
172,7402.49,0.81611,0.64527,1.0061,0.92183,0.88977,0.92329,0.79817,1.00097,0.87738,1.12181,0.0077428,0.0077428,0.0077428
173,7449.55,0.80408,0.62795,0.99859,0.91367,0.88093,0.92308,0.80258,0.98527,0.89984,1.08532,0.0077296,0.0077296,0.0077296
174,7497.44,0.81594,0.63202,1.00411,0.95262,0.8687,0.92191,0.79892,1.00695,0.86713,1.10765,0.0077164,0.0077164,0.0077164
175,7543.95,0.81257,0.63679,0.99817,0.92614,0.8782,0.92361,0.79333,1.01073,0.87806,1.09642,0.0077032,0.0077032,0.0077032
176,7595.16,0.82763,0.64074,1.00909,0.94261,0.89765,0.92656,0.80313,0.99705,0.88593,1.09392,0.00769,0.00769,0.00769
177,7641.24,0.82487,0.63428,1.00578,0.94289,0.90689,0.92867,0.79642,0.99725,0.85433,1.101,0.0076768,0.0076768,0.0076768
178,7687.48,0.80066,0.61614,1.00716,0.92296,0.89496,0.9271,0.799,0.99339,0.88786,1.11135,0.0076636,0.0076636,0.0076636
179,7733.16,0.81827,0.63658,1.00015,0.91411,0.88643,0.92452,0.79688,1.00451,0.82832,1.09245,0.0076504,0.0076504,0.0076504
